Tiempo (Dias),CBS397-A,CBS397-B,ITD002-A,ITD002-B,ITD00157-A,ITD00157-B,ITD00268-A,ITD00268-B,CBS6556-A,CBS6556-B
0,0.007749935,0.009041591,0.010333247,0.011624903,0.001033325,0.007749935,0.005166624,0.00645828,0.009041591,0.011624903
0.25,0.161456988,0.1640403,0.251872901,0.259622836,0.116249031,0.121415655,0.105915784,0.112374064,0.162748644,0.167915267
0.5,0.503745802,0.52957892,0.499870834,0.495995867,0.423663136,0.419788168,0.391371739,0.401704986,0.467579437,0.47920434
1,2.204856626,0.910617412,2.222939809,2.228106432,2.208731594,2.199690003,2.211314906,2.221648153,2.171273573,2.18160682
2,2.389414954,2.385241789,2.394233176,2.398886624,2.384973335,2.375699715,2.334723929,2.324303832,2.323592836,2.320863794
4,2.435613872,2.429138485,2.496984728,2.507490402,2.412841629,2.419021534,2.364507971,2.370108631,2.458520349,2.461929489
6,2.452209543,2.4470955,2.511532616,2.516644552,2.482239813,2.475646334,2.40964766,2.403585856,2.492120041,2.506058867
8,2.510020775,2.524348157,2.528048292,2.524041924,2.532309729,2.527362558,2.454659307,2.448524391,2.516605184,2.508400303
10,2.517231971,2.521043835,2.525899666,2.528524417,2.534254213,2.525321978,2.458034675,2.450621268,2.519744463,2.516790487
12,2.501830853,2.514427763,2.516032461,2.518666656,2.520366609,2.512695368,2.449524181,2.443576423,2.524889424,2.514691207
15,2.503112528,2.49093243,2.482225692,2.517385543,2.507076223,2.516533498,2.461897485,2.431400709,2.517928957,2.532223029
18,2.49285387,2.501398533,2.472252045,2.508797556,2.508540816,2.505160548,2.453371602,2.420517812,2.495143748,2.523649394
21,2.476134307,2.489661546,2.479863864,2.508797556,2.494668754,2.491241704,2.439726085,2.42179043,2.47578459,2.515037935
24,2.464599226,2.47793524,2.470880538,2.49637757,2.505995366,2.493774741,2.438448741,2.403832388,2.462399077,2.50638865
27,2.454056791,2.470000225,2.457257261,2.482704815,2.497201412,2.478595807,2.432472415,2.395474525,2.452755353,2.485213033
30,2.443506329,2.459534122,2.47110331,2.47311526,2.484589284,2.46720357,2.425198226,2.383349312,2.441850006,2.487722082
34,2.435036642,2.460788987,2.462463164,2.462943942,2.473230694,2.468457231,2.412855702,2.374986399,2.433394054,2.477717407
38,2.41572221,2.442875837,2.459871022,2.451799399,2.473230694,2.454551244,2.405560993,2.362886436,2.424670123,2.466445599
42,2.42508672,2.451567069,2.449885495,2.4542936,2.459365027,2.441898918,2.405560993,2.355479459,2.413704278,2.468929431
46,2.413000301,2.438601917,2.448584554,2.449305198,2.445512152,2.429246592,2.394490683,2.357953702,2.4039384,2.455161183
50,2.414965285,2.429374659,2.437406446,2.439413425,2.44185325,2.42620081,2.387170325,2.347097329,2.390529547,2.457632407
54,2.407150136,2.42689697,2.436165404,2.430746077,2.435375122,2.414138378,2.377346579,2.336251055,2.377133001,2.446322774
58,2.393186999,2.416336313,2.423703513,2.430746077,2.421528642,2.404061599,2.373622276,2.329080799,2.379532934,2.436104638
62,2.397590214,2.428135814,2.427409482,2.41794131,2.41275466,2.407129172,2.356374327,2.339932123,2.368524013,2.424764038
66,2.388273344,2.408332211,2.413178024,2.419865247,2.403679739,2.39262379,2.364956298,2.339932123,2.368524013,2.410990157
70,2.386079002,2.416805036,2.415537678,2.415481553,2.398232037,2.393339818,2.367428809,2.327858826,2.367654711,2.410956471
74,2.391742433,2.405875982,2.414407355,2.416711432,2.398232037,2.390193496,2.355143201,2.329080799,2.368524013,2.411816269
78,2.386576203,2.411352121,2.413178024,2.419171189,2.399447563,2.39262379,2.356374327,2.330302773,2.367330201,2.410990157
82,2.384135941,2.41258303,2.413178024,2.419171189,2.398232037,2.39262379,2.357605453,2.329080799,2.369717826,2.410990157
